name,bib,flag,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Grayson MURPHY,1236,🇺🇸,792,20-34,https://utmb.world/en/runner/3362651.grayson.murphy,Grayson MURPHY
Allie MCLAUGHLIN,1235,🇺🇸,784,20-34,https://utmb.world/en/runner/502504.allie.mclaughlin,Allie MCLAUGHLIN
Christel DEWALLE,1081,🇫🇷,782,40-44,https://utmb.world/en/runner/42208.christel.dewalle,Christel DEWALLE
Philaries Jeruto KISANG,1130,🇰🇪,766,20-34,https://utmb.world/en/runner/4665270.philiaries.kisang,Philiaries KISANG
Francesca GHELFI,1123,🇮🇹,754,20-34,https://utmb.world/en/runner/1679987.francesca.ghelfi,Francesca GHELFI
Andrea MAYR,1021,🇦🇹,751,40-44,https://utmb.world/en/runner/342783.andrea.mayr,Andrea MAYR
Judith WYDER,1214,🇨🇭,746,35-39,https://utmb.world/en/runner/3337007.judith.wyder,Judith WYDER
Sarah MCCORMACK,1114,🇮🇪,739,35-39,https://utmb.world/en/runner/2244909.sarah.mccormack,Sarah MCCORMACK
Scout ADKIN,1087,🇬🇧,739,20-34,https://utmb.world/en/runner/3453027.scout.adkin,Scout ADKIN
Laura HOTTENROTT,1099,🇩🇪,737,20-34,https://utmb.world/en/runner/4330844.laura.hottenrott,Laura HOTTENROTT
Bianca TARBOTON,1192,🇿🇦,734,20-34,https://utmb.world/en/runner/2501069.bianca.tarboton,Bianca TARBOTON
Elisa SORTINI,1125,🇮🇹,734,35-39,https://utmb.world/en/runner/468940.elisa.sortini,Elisa SORTINI
Emma POOLEY,1212,🇨🇭,732,40-44,https://utmb.world/en/runner/342793.emma.pooley,Emma POOLEY
Lucija KRKOC,1198,🇸🇮,730,35-39,https://utmb.world/en/runner/929147.lucija.krkoc,Lucija KRKOC
Kate AVERY,1088,🇬🇧,728,20-34,https://utmb.world/en/runner/4494858.kate.avery,Kate AVERY
Susanna SAAPUNKI,1077,🇫🇮,724,20-34,https://utmb.world/en/runner/4001334.susanna.saapunki,Susanna SAAPUNKI
Onditz ITURBE,1073,🇪🇸,719,20-34,https://utmb.world/en/runner/4635332.onditz.iturbe,Onditz ITURBE
Hana ŠVESTKOVÁ STRUŽKOVÁ,1058,🇨🇿,712,40-44,https://utmb.world/en/runner/3709173.hana.svestkovastruzkova,Hana SVESTKOVA-STRUZKOVA
Phillipa WILLIAMS,1091,🇬🇧,711,20-34,https://utmb.world/en/runner/3709137.phillipa.williams,Phillipa WILLIAMS
Jessica RONAN,1013,🇦🇺,710,20-34,https://utmb.world/en/runner/3105993.jessica.ronan,Jessica RONAN
Giselle SLOTBOOM,1156,🇳🇱,707,20-34,https://utmb.world/en/runner/2330513.giselle.slotboom,Giselle SLOTBOOM
Anne-Marie COMEAU,1034,🇨🇦,706,20-34,https://utmb.world/en/runner/4575106.annemarie.comeau,Anne-Marie COMEAU
Lara HAMILTON,1011,🇦🇺,704,20-34,https://utmb.world/en/runner/1909495.lara.hamilton,Lara HAMILTON
Malen OSA,1075,🇪🇸,704,20-34,https://utmb.world/en/runner/4592334.malen.osaansa,Malen OSA ANSA
Pavla SCHORNÁ MATYÁŠOVÁ,1057,🇨🇿,700,40-44,https://utmb.world/en/runner/2330531.pavla.schorna,Pavla SCHORNA
