name,bib,flag,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Patrick KIPNGENO,1127,🇰🇪,942,20-34,https://utmb.world/en/runner/4595246.patrick.kipngeno,Patrick KIPNGENO
Jim WALMSLEY,1233,🇺🇸,935,20-34,https://utmb.world/en/runner/485740.jim.walmsley,Jim WALMSLEY
Daniel OSANZ,1072,🇪🇸,902,20-34,https://utmb.world/en/runner/1015313.daniel.osanz,Daniel OSANZ
Ombogo KIRIAGO PHILEMON,1129,🇰🇪,901,50-54,https://utmb.world/en/runner/4665256.ombogophilemon.kiriago,Ombogo-Philemon KIRIAGO
Manuel INNERHOFER,1016,🇦🇹,896,20-34,https://utmb.world/en/runner/2330407.manuel.innerhofer,Manuel INNERHOFER
Cesare MAESTRI,1118,🇮🇹,894,20-34,https://utmb.world/en/runner/743685.cesare.maestri,Cesare MAESTRI
Roberto DELORENZI,1206,🇨🇭,888,20-34,https://utmb.world/en/runner/714354.roberto.delorenzi,Roberto DELORENZI
Alejandro GARCÍA,1069,🇪🇸,875,20-34,https://utmb.world/en/runner/4016630.alejandro.garciacarrillo,Alejandro GARCIA CARRILLO
Alex BALDACCINI,1115,🇮🇹,872,35-39,https://utmb.world/en/runner/678352.alex.baldaccini,Alex BALDACCINI
Dominik ROLLI,1208,🇨🇭,871,20-34,https://utmb.world/en/runner/1577763.dominik.rolli,Dominik ROLLI
Andrew DOUGLAS,1084,🇬🇧,867,35-39,https://utmb.world/en/runner/2244173.andrew.douglas,Andrew DOUGLAS
Theodore KLEIN,1078,🇫🇷,867,20-34,https://utmb.world/en/runner/4017661.theodore.klein,Theodore KLEIN
Andrea ROSTAN,1120,🇮🇹,866,20-34,https://utmb.world/en/runner/3079753.andrea.rostan,Andrea ROSTAN
Quentin MEYLEU,1079,🇫🇷,866,20-34,https://utmb.world/en/runner/2365397.quentin.meyleu,Quentin MEYLEU
Christopher RICHARDS,1085,🇬🇧,862,20-34,https://utmb.world/en/runner/4635310.christopher.richards,Christopher RICHARDS
Xavier CHEVRIER,1116,🇮🇹,862,20-34,https://utmb.world/en/runner/502494.xavier.chevrier,Xavier CHEVRIER
Edward OWENS,1232,🇺🇸,859,20-34,https://utmb.world/en/runner/4244924.edward.owens,Edward OWENS
Miquel CORBERA,1068,🇪🇸,858,20-34,https://utmb.world/en/runner/4040827.miquel.corberarubio,Miquel CORBERA RUBIO
Tiziano MOIA,1119,🇮🇹,851,20-34,https://utmb.world/en/runner/527635.tiziano.moia,Tiziano MOIA
Timotej BEČAN,1194,🇸🇮,850,20-34,https://utmb.world/en/runner/2330393.timotej.becan,Timotej BECAN
Emmanuel MEYSSAT,1080,🇫🇷,849,40-44,https://utmb.world/en/runner/24410.emmanuel.meyssat,Emmanuel MEYSSAT
