name,bib,flag,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Esswein Katharina,256,🏳‍ (unknown),642,20-34,https://utmb.world/en/runner/4015585.katharina.esswein,Katharina ESSWEIN
Marsell Asa,231,🏳‍ (unknown),587,40-44,https://utmb.world/en/runner/4925668.asa.marsell,Asa MARSELL
Richter Julia,237,🏳‍ (unknown),576,35-39,https://utmb.world/en/runner/4765534.julia.richter,Julia RICHTER
Ambrozova Irena,201,🏳‍ (unknown),548,35-39,https://utmb.world/en/runner/1892385.irena.ambrozova,Irena AMBROŽOVÁ
Hehn Yvonne,214,🏳‍ (unknown),526,20-34,https://utmb.world/en/runner/4925674.yvonne.hehn,Yvonne HEHN
Rumplmair Sandra,239,🏳‍ (unknown),519,45-49,https://utmb.world/en/runner/203130.sandra.rumplmair,Sandra RUMPLMAIR
Boddenberg Birgit,249,🏳‍ (unknown),514,55-59,https://utmb.world/en/runner/4565716.birgit.boddenberg,Birgit BODDENBERG
Kraft Susanne,223,🏳‍ (unknown),511,20-34,https://utmb.world/en/runner/1554543.susanne.kraft,Susanne KRAFT
Gerlach Anne,255,🏳‍ (unknown),493,45-49,https://utmb.world/en/runner/47830.anne.gerlach,Anne GERLACH
Sprenger Franziska,244,🏳‍ (unknown),489,40-44,https://utmb.world/en/runner/4925678.franziska.sprenger,Franziska SPRENGER
Lehmann Catharina,227,🏳‍ (unknown),440,20-34,https://utmb.world/en/runner/4661924.catharina.lehmann,Catharina LEHMANN
Sautter Chrissi,242,🏳‍ (unknown),376,45-49,https://utmb.world/en/runner/4925696.chrissi.sautter,Chrissi SAUTTER
