name,bib,flag,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Nussbaum Benedikt,265,🏳‍ (unknown),727,35-39,https://utmb.world/en/runner/2324925.benedikt.nussbaum,Benedikt NUSSBAUM
Leininger Matthias,228,🏳‍ (unknown),721,35-39,https://utmb.world/en/runner/2121055.matthias.leininger,Matthias LEININGER
Nischler Benjamin,233,🏳‍ (unknown),686,35-39,https://utmb.world/en/runner/1552069.benjamin.nischler,Benjamin NISCHLER
Dürschlag Max,209,🏳‍ (unknown),677,20-34,https://utmb.world/en/runner/4460806.max.durschlag,Max DÜRSCHLAG
Fischer Marian,211,🏳‍ (unknown),674,20-34,https://utmb.world/en/runner/4460810.marian.fischer,Marian FISCHER
Pittschieler Gerhard,261,🏳‍ (unknown),668,45-49,https://utmb.world/en/runner/806406.gerhard.pittschieler,Gerhard PITTSCHIELER
Winkler Jürgen,247,🏳‍ (unknown),668,40-44,https://utmb.world/en/runner/4925664.jurgen.winkler,Jürgen WINKLER
Pottgießer Torben,260,🏳‍ (unknown),658,40-44,https://utmb.world/en/runner/4925666.torben.pottgiesser,Torben POTTGIESSER
Kundel Steffen,225,🏳‍ (unknown),649,35-39,https://utmb.world/en/runner/4226412.steffen.kundel,Steffen KUNDEL
Schreiner Stefan,243,🏳‍ (unknown),646,35-39,https://utmb.world/en/runner/685194.stefan.schreiner,Stefan SCHREINER
Holzer Gerhard,258,🏳‍ (unknown),638,50-54,https://utmb.world/en/runner/442090.gerhard.holzer,Gerhard HOLZER
Gerhart Manuel,259,🏳‍ (unknown),631,35-39,https://utmb.world/en/runner/2276769.manuel.gerhart,Manuel GERHART
Jäger Florian,218,🏳‍ (unknown),626,20-34,https://utmb.world/en/runner/875959.florian.jager,Florian JÄGER
Holzknecht Raffael,267,🏳‍ (unknown),618,20-34,https://utmb.world/en/runner/2567869.raffael.holzknecht,Raffael HOLZKNECHT
Dendl Alfred,208,🏳‍ (unknown),591,65-69,https://utmb.world/en/runner/19325.alfred.dendl,Alfred DENDL
Sanna Johnny,241,🏳‍ (unknown),579,40-44,https://utmb.world/en/runner/4925670.johnny.sanna,Johnny SANNA
Kronawitter Maximilian,224,🏳‍ (unknown),570,20-34,https://utmb.world/en/runner/4925672.maximilian.kronawitter,Maximilian KRONAWITTER
Bellings Christoph,251,🏳‍ (unknown),542,40-44,https://utmb.world/en/runner/317336.christoph.bellings,Christoph BELLINGS
Herzog Rainer,215,🏳‍ (unknown),536,55-59,https://utmb.world/en/runner/143295.rainer.herzog,Rainer HERZOG
Greif Andreas,262,🏳‍ (unknown),535,50-54,https://utmb.world/en/runner/2031611.andreas.greif,Andreas GREIF
Holzknecht Benjamin,216,🏳‍ (unknown),533,35-39,https://utmb.world/en/runner/1967893.benjamin.holzknecht,Benjamin HOLZKNECHT
Katritschenko Mario,219,🏳‍ (unknown),516,45-49,https://utmb.world/en/runner/3193185.mario.katritschenko,Mario KATRITSCHENKO
Lehmann Christoph,226,🏳‍ (unknown),515,35-39,https://utmb.world/en/runner/4661922.christoph.lehmann,Christoph LEHMANN
König Bernd,222,🏳‍ (unknown),514,50-54,https://utmb.world/en/runner/203065.bernd.konig,Bernd KÖNIG
Reusch Martin,236,🏳‍ (unknown),511,35-39,https://utmb.world/en/runner/4925676.martin.reusch,Martin REUSCH
Kun Rene,266,🏳‍ (unknown),493,45-49,https://utmb.world/en/runner/2359427.rene.kun,Rene KUN
Dachtler Fabian,206,🏳‍ (unknown),488,20-34,https://utmb.world/en/runner/4925680.fabian.dachtler,Fabian DACHTLER
Bettmann Jan Felix,263,🏳‍ (unknown),483,20-34,https://utmb.world/en/runner/4925682.janfelix.bettmann,Jan Felix BETTMANN
Horvath Pascal,217,🏳‍ (unknown),483,20-34,https://utmb.world/en/runner/4925684.pascal.horvath,Pascal HORVATH
Loschko Markus,230,🏳‍ (unknown),470,50-54,https://utmb.world/en/runner/3284697.loschko.markus,Loschko MARKUS
Zöbl Karl,248,🏳‍ (unknown),466,70-74,https://utmb.world/en/runner/80151.karl.zobl,Karl ZÖBL
Beres Yannick,202,🏳‍ (unknown),463,20-34,https://utmb.world/en/runner/4925686.yannick.beres,Yannick BERES
Cocca Alessandro,204,🏳‍ (unknown),463,20-34,https://utmb.world/en/runner/4925688.alessandro.cocca,Alessandro COCCA
Sopper Roland,268,🏳‍ (unknown),455,45-49,https://utmb.world/en/runner/4512786.roland.sopper,Roland SOPPER
Wirdemann Hinnerk,253,🏳‍ (unknown),433,60-64,https://utmb.world/en/runner/484159.hinnerk.wirdemann,Hinnerk WIRDEMANN
Sailer Alexander,240,🏳‍ (unknown),408,20-34,https://utmb.world/en/runner/4054629.alexander.sailer,Alexander SAILER
Klausen Markus,220,🏳‍ (unknown),400,45-49,https://utmb.world/en/runner/4925690.markus.klausen,Markus KLAUSEN
Böhmer Paul,203,🏳‍ (unknown),394,50-54,https://utmb.world/en/runner/915995.paul.bohmer,Paul BÖHMER
Rouwen Frank,238,🏳‍ (unknown),393,45-49,https://utmb.world/en/runner/4259680.frank.rouwen,Frank ROUWEN
Teschke Marcus,245,🏳‍ (unknown),365,50-54,https://utmb.world/en/runner/1113563.marcus.teschke,Marcus TESCHKE
Mähr Jan-Christian,254,🏳‍ (unknown),335,50-54,https://utmb.world/en/runner/4925698.janchristian.mahr,Jan-Christian MÄHR
de Wit Paul,207,🏳‍ (unknown),0,50-54,https://utmb.world/en/runner/562604.paul.dewit,Paul DE WIT
