name,bib,flag,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Azara GARCÍA,3096,🇪🇸 (Spain),781,40-44,https://utmb.world/en/runner/531472.azara.garcia,Azara GARCIA
Marcela VAŠÍNOVÁ,3076,🇨🇿 (Czech Republic),766,20-34,https://utmb.world/en/runner/2228283.marcela.vasinova,Marcela VASINOVA
Sunmaya BUDHA,3221,🇳🇵 (Nepal),766,20-34,https://utmb.world/en/runner/4327422.sunmaya.budha,Sunmaya BUDHA
Rosanna BUCHAUER,3130,🇩🇪 (Germany),765,20-34,https://utmb.world/en/runner/1413011.rosanna.buchauer,Rosanna BUCHAUER
Genma ARENAS ALCAZAR,3095,🇪🇸 (Spain),763,40-44,https://utmb.world/en/runner/563721.gemma.arenas,Gemma ARENAS
Manon BOHARD CAILLER,3111,🇫🇷 (France),763,20-34,https://utmb.world/en/runner/896047.manon.bohardcailler,Manon BOHARD CAILLER
Audrey TANGUY,3115,🇫🇷 (France),762,35-39,https://utmb.world/en/runner/641177.audrey.tanguy,Audrey TANGUY
Hannah OSOWSKI,3311,🇺🇸 (United States),762,20-34,https://utmb.world/en/runner/1598027.hannah.osowski,Hannah OSOWSKI
Clare GALLAGHER,3309,🇺🇸 (United States),760,20-34,https://utmb.world/en/runner/590348.clare.gallagher,Clare GALLAGHER
Johanna ANTILA,3102,🇫🇮 (Finland),750,40-44,https://utmb.world/en/runner/3421721.johanna.antila,Johanna ANTILA
Yuri YOSHIZUMI,3180,🇯🇵 (Japan),750,35-39,https://utmb.world/en/runner/1092705.yuri.yoshizumi,Yuri YOSHIZUMI
Paulina TRACZ,3250,🇵🇱 (Poland),749,20-34,https://utmb.world/en/runner/945167.paulina.tracz,Paulina TRACZ
Giuditta TURINI,3170,🇮🇹 (Italy),748,20-34,https://utmb.world/en/runner/1555421.giuditta.turini,Giuditta TURINI
Katarzyna WILK,3251,🇵🇱 (Poland),746,35-39,https://utmb.world/en/runner/1842905.katarzyna.wilk,Katarzyna WILK
Anna MCKENNA,3020,🇦🇺 (Australia),745,20-34,https://utmb.world/en/runner/4158468.anna.mckenna,Anna MCKENNA
Marion DELESPIERRE,3112,🇫🇷 (France),743,35-39,https://utmb.world/en/runner/385957.marion.delespierre,Marion DELESPIERRE
Ida-Sophie HEGEMANN,3132,🇩🇪 (Germany),734,20-34,https://utmb.world/en/runner/2228289.idasophie.hegemann,Ida-Sophie HEGEMANN
Martina VALMASSOI,3171,🇮🇹 (Italy),733,20-34,https://utmb.world/en/runner/360942.martina.valmassoi,Martina VALMASSOI
Jocelyne PAULY,3114,🇫🇷 (France),730,50-54,https://utmb.world/en/runner/437071.jocelyne.pauly,Jocelyne PAULY
Martina KLANČNIK POTRČ,3274,🇸🇮 (Slovenia),728,20-34,https://utmb.world/en/runner/2050519.martina.klancnikpotrc,Martina KLANCNIK POTRČ
Shea AQUILANO,3307,🇺🇸 (United States),728,20-34,https://utmb.world/en/runner/4081167.shea.aquilano,Shea AQUILANO
Allison BACA,3308,🇺🇸 (United States),725,20-34,https://utmb.world/en/runner/2584457.allison.baca,Allison BACA
Marina CUGNETTO,3167,🇮🇹 (Italy),725,20-34,https://utmb.world/en/runner/2219167.marina.cugnetto,Marina CUGNETTO
Emily SCHMITZ,3312,🇺🇸 (United States),724,40-44,https://utmb.world/en/runner/1929711.emily.schmitz,Emily SCHMITZ
Katarzyna SOLINSKA,3249,🇵🇱 (Poland),722,20-34,https://utmb.world/en/runner/1099697.katarzyna.solinska,Katarzyna SOLINSKA
Sarah KEYES,3310,🇺🇸 (United States),721,35-39,https://utmb.world/en/runner/4450292.sarah.keyes,Sarah KEYES
Akiyama HONOKA,3178,🇯🇵 (Japan),720,20-34,https://utmb.world/en/runner/1575819.honoka.akiyama,Honoka AKIYAMA
Camilla SPAGNOL,3169,🇮🇹 (Italy),719,20-34,https://utmb.world/en/runner/2140911.camilla.spagnol,Camilla SPAGNOL
Sara-Rebekka Færø LINDE,3230,🇳🇴 (Norway),718,40-44,https://utmb.world/en/runner/2307519.sararebekkafaro.linde,Sara-Rebekka Færø LINDE
Arden YOUNG,3049,🇨🇦 (Canada),716,35-39,https://utmb.world/en/runner/382627.arden.young,Arden YOUNG
Esther FELLHOFER,3030,🇦🇹 (Austria),716,20-34,https://utmb.world/en/runner/3175353.esther.fellhofer,Esther FELLHOFER
Anne-Marie MADDEN,3046,🇨🇦 (Canada),715,40-44,https://utmb.world/en/runner/327807.annemarie.madden,Anne-Marie MADDEN
Dominique VAN MECHGELEN,3034,🇧🇪 (Belgium),715,40-44,https://utmb.world/en/runner/833328.dominique.vanmechgelen,Dominique VAN MECHGELEN
Takako TAKAMURA,3179,🇯🇵 (Japan),714,20-34,https://utmb.world/en/runner/695252.takako.takamura,Takako TAKAMURA
Mari Klakegg FENRE,3229,🇳🇴 (Norway),710,35-39,https://utmb.world/en/runner/4217537.mariklakegg.fenre,Mari Klakegg FENRE
Alissa ST LAURENT,3048,🇨🇦 (Canada),709,35-39,https://utmb.world/en/runner/327907.alissa.stlaurent,Alissa ST-LAURENT
Fiona PASCALL,3124,🇬🇧 (United Kingdom),708,20-34,https://utmb.world/en/runner/4004097.fiona.pascall,Fiona PASCALL
Jasmin PARIS,3123,🇬🇧 (United Kingdom),704,40-44,https://utmb.world/en/runner/318621.jasmin.paris,Jasmin PARIS
Meryl COOPER,3121,🇬🇧 (United Kingdom),703,35-39,https://utmb.world/en/runner/1505787.meryl.cooper,Meryl COOPER
Emily VAUDAN,3283,🇨🇭 (Switzerland),700,40-44,https://utmb.world/en/runner/20837.emily.vaudan,Emily VAUDAN
Irén TIRICZ,3145,🇭🇺 (Hungary),698,35-39,https://utmb.world/en/runner/1100345.iren.tiricz,Iren TIRICZ
Linda BOLDĀNE,3192,🇱🇻 (Latvia),696,20-34,https://utmb.world/en/runner/1789773.linda.boldane,Linda BOLDANE
Eva-Maria SPERGER,3134,🇩🇪 (Germany),691,40-44,https://utmb.world/en/runner/708080.evamaria.sperger,Eva Maria SPERGER
Marjo LIIKANEN,3103,🇫🇮 (Finland),691,20-34,https://utmb.world/en/runner/1552841.marjo.liikanen,Marjo LIIKANEN
Francesca PRETTO,3168,🇮🇹 (Italy),689,45-49,https://utmb.world/en/runner/345172.francesca.pretto,Francesca PRETTO
Julia DAVIS,3122,🇬🇧 (United Kingdom),689,35-39,https://utmb.world/en/runner/2017089.julia.davis,Julia DAVIS
Barbara JOLIĆ,3272,🇸🇮 (Slovenia),688,20-34,https://utmb.world/en/runner/702768.barbara.jolic,Barbara JOLIČ
Vera BERNARDO,3258,🇵🇹 (Portugal),686,40-44,https://utmb.world/en/runner/1860077.vera.bernardo,Vera BERNARDO
Sara ESCOBAR CARRON,3281,🇨🇭 (Switzerland),685,40-44,https://utmb.world/en/runner/1465233.sara.escobar,Sara ESCOBAR
Jessica Geovana TIPAN GUTIERREZ,3087,🇪🇨 (Ecuador),682,35-39,https://utmb.world/en/runner/841408.jessica.tipan,Jessica TIPAN
Rannveig ODDSDÓTTIR,3158,🇮🇸 (Iceland),682,50-54,https://utmb.world/en/runner/1637479.rannveig.oddsdottir,Rannveig ODDSDOTTIR
Christina GIAZITZIDOU,3136,🇬🇷 (Greece),679,20-34,https://utmb.world/en/runner/4007132.christina.giazitzidou,Christina GIAZITZIDOU
Nádia CASTELEIRO,3259,🇵🇹 (Portugal),679,35-39,https://utmb.world/en/runner/587463.nadia.casteleiro,Nadia CASTELEIRO
Sarah LUDOWICI,3019,🇦🇺 (Australia),678,20-34,https://utmb.world/en/runner/625081.sarah.ludowici,Sarah LUDOWICI
Adriana Vanesa VARGAS,3012,🇦🇷 (Argentina),675,45-49,https://utmb.world/en/runner/310373.adriana.vargas,Adriana VARGAS
Ildikó WERMESCHER,3146,🇭🇺 (Hungary),670,55-59,https://utmb.world/en/runner/18984.ildiko.wermescher,Ildikó WERMESCHER
Nayeli DE LA TORRE,3218,🇲🇽 (Mexico),667,20-34,https://utmb.world/en/runner/1752907.nayeli.delatorre,Nayeli DE LA TORRE
Lisa WATSON,3125,🇬🇧 (United Kingdom),666,20-34,https://utmb.world/en/runner/3613333.lisa.watson,Lisa WATSON
Carolina Tania DIAZ ESTEVEZ,3007,🇦🇷 (Argentina),663,40-44,https://utmb.world/en/runner/200974.carolinatania.diazestevez,Carolina Tania DIAZ ESTEVEZ
Man Yee CHEUNG,3140,🇭🇰 (Hong Kong),663,20-34,https://utmb.world/en/runner/1723721.manyee.cheung,Man Yee CHEUNG
Marisa VIEIRA,3261,🇵🇹 (Portugal),661,40-44,https://utmb.world/en/runner/925005.marisa.vieira,Marisa VIEIRA
Yuliya TARASOVA,3296,🇺🇦 (Ukraine),657,35-39,https://utmb.world/en/runner/929175.yuliya.tarasova,Yuliya TARASOVA
Mylene SANSOUCY,3047,🇨🇦 (Canada),656,40-44,https://utmb.world/en/runner/1570693.mylene.sansoucy,Mylene SANSOUCY
Claudia ROSEGGER,3033,🇦🇹 (Austria),654,45-49,https://utmb.world/en/runner/2120865.claudia.rosegger,Claudia ROSEGGER
Hayley TEALE,3023,🇦🇺 (Australia),651,45-49,https://utmb.world/en/runner/351506.hayley.teale,Hayley TEALE
Maja URBAN,3072,🇭🇷 (Croatia),649,35-39,https://utmb.world/en/runner/1680411.maja.urban,Maja URBAN
Paula BARBOSA,3257,🇵🇹 (Portugal),648,45-49,https://utmb.world/en/runner/1055397.paula.barbosa,Paula BARBOSA
Oksana RIABOVA,3295,🇺🇦 (Ukraine),646,35-39,https://utmb.world/en/runner/599257.oksana.riabova,Oksana RIABOVA
Genevieve ASSELIN DEMERS,3044,🇨🇦 (Canada),644,35-39,https://utmb.world/en/runner/4207337.genevieve.asselindemers,Geneviève ASSELIN-DEMERS
Sofia ROQUETE,3260,🇵🇹 (Portugal),643,40-44,https://utmb.world/en/runner/420267.sofia.roquete,Sofia ROQUETE
María Silvina PEREZ,3010,🇦🇷 (Argentina),640,40-44,https://utmb.world/en/runner/874791.mariasilvina.perez,Maria Silvina PEREZ
Paula VRDOLJAK,3073,🇭🇷 (Croatia),632,40-44,https://utmb.world/en/runner/320149.paula.vrdoljak,Paula VRDOLJAK
Aoife MUNDOW,3153,🇮🇪 (Ireland),626,40-44,https://utmb.world/en/runner/2314259.aoife.mundow,Aoife MUNDOW
Maja BONAČIĆ,3069,🇭🇷 (Croatia),625,35-39,https://utmb.world/en/runner/3992419.maja.bonacic,Maja BONAČIĆ
Jasmina NIKULA,3104,🇫🇮 (Finland),623,20-34,https://utmb.world/en/runner/750776.jasmina.nikula,Jasmina NIKULA
Sarah BRADY,3152,🇮🇪 (Ireland),622,20-34,https://utmb.world/en/runner/1164271.sarah.brady,Sarah BRADY
Claire O'BRIEN-SMITH,3021,🇦🇺 (Australia),619,20-34,https://utmb.world/en/runner/2609381.claire.obriensmith,Claire O'BRIEN-SMITH
Jinhee KIM,3186,🇰🇷 (South Korea),618,40-44,https://utmb.world/en/runner/4259023.jinhee.kim,Jinhee KIM
Anabel Estefania OVIEDO ZELARAYÁN,3009,🇦🇷 (Argentina),613,35-39,https://utmb.world/en/runner/4523972.anabel.oviedozelarayan,Anabel OVIEDO ZELARAYAN
Henna AHOMIES,3101,🇫🇮 (Finland),613,20-34,https://utmb.world/en/runner/1696541.henna.ahomies,Henna AHOMIES
Viktorija KALVELYTE,3201,🇱🇹 (Lithuania),609,20-34,https://utmb.world/en/runner/4778414.viktorija.kalvelyte,Viktorija KALVELYTĖ
Constanza LEAL,3059,🇨🇱 (Chile),607,35-39,https://utmb.world/en/runner/2612441.constanza.leal,Constanza LEAL
Linda MEIRĒNA,3194,🇱🇻 (Latvia),607,20-34,https://utmb.world/en/runner/3380867.linda.meirena,Linda MEIRĒNA
Shannon-Leigh LITT,3234,🇳🇿 (New Zealand),605,45-49,https://utmb.world/en/runner/412256.shannonleigh.litt,Shannon-Leigh LITT
Olena KHASHKO,3294,🇺🇦 (Ukraine),604,35-39,https://utmb.world/en/runner/2154273.olena.khashko,Olena KHASHKO
Nicole PATON,3022,🇦🇺 (Australia),601,40-44,https://utmb.world/en/runner/1180339.nicole.paton,Nicole PATON
Viviāna KIRILOVA,3193,🇱🇻 (Latvia),599,45-49,https://utmb.world/en/runner/730165.viviana.kirilova,Viviana KIRILOVA
Emőke PAÁL,3144,🇭🇺 (Hungary),598,50-54,https://utmb.world/en/runner/278888.emoke.paal,Emoke PAAL
Veronika HAAS,3031,🇦🇹 (Austria),597,35-39,https://utmb.world/en/runner/4668400.veronika.haas,Veronika HAAS
Veronica Palmira FILIPPA,3008,🇦🇷 (Argentina),591,45-49,https://utmb.world/en/runner/4523976.veronicapalmira.filippa,Veronica Palmira FILIPPA
Carla FUENZALIDA,3057,🇨🇱 (Chile),588,20-34,https://utmb.world/en/runner/4753824.carla.fuenzalida,Carla FUENZALIDA
Mariana LEAL,3060,🇨🇱 (Chile),588,35-39,https://utmb.world/en/runner/4755910.mariana.leal,Mariana LEAL
Sworupa KHADKA,3222,🇳🇵 (Nepal),584,45-49,https://utmb.world/en/runner/4105841.sworupa.khadka,Sworupa KHADKA
Hsiu-Ching CHEN,3289,🇹🇼 (Taiwan),568,50-54,https://utmb.world/en/runner/1103549.hsiuching.chen,Hsiu Ching CHEN
Alejandra VERGARA,3061,🇨🇱 (Chile),566,45-49,https://utmb.world/en/runner/2140219.alejandrapatricia.vergaracarrasco,Alejandra Patricia VERGARA CARRASCO
Elizabeth DANGADANG,3243,🇵🇭 (Philippines),561,20-34,https://utmb.world/en/runner/3592031.elizabeth.dangadang,Elizabeth DANGADANG
Laura SESKIENE,3204,🇱🇹 (Lithuania),553,40-44,https://utmb.world/en/runner/4778446.laura.seskiene,Laura ŠEŠKIENĖ (Laura SESKIENE)
Sally Ann YAP YU ING,3211,🇲🇾 (Malaysia),553,20-34,https://utmb.world/en/runner/4466650.sallyann.yapyuing,Sally Ann YAP YU ING
Toma VALEIKAITE,3205,🇱🇹 (Lithuania),549,35-39,https://utmb.world/en/runner/2998777.toma.valeikaite,Toma VALEIKAITE
Maria Emilia CRESPO BARAHONA,3085,🇪🇨 (Ecuador),548,20-34,https://utmb.world/en/runner/2441331.mariaemilia.crespo,Maria Emilia CRESPO
