name,bib,flag,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Jim WALMSLEY,3306,🇺🇸,935,20-34,https://utmb.world/en/runner/485740.jim.walmsley,Jim WALMSLEY
Hannes NAMBERGER,3127,🇩🇪,914,20-34,https://utmb.world/en/runner/1008473.hannes.namberger,Hannes NAMBERGER
Andreas REITERER,3166,🇮🇹,912,20-34,https://utmb.world/en/runner/666238.andreas.reiterer,Andreas REITERER
Thibaut GARRIVIER,3106,🇫🇷,912,20-34,https://utmb.world/en/runner/154454.thibaut.garrivier,Thibaut GARRIVIER
Nicolas MARTIN,3108,🇫🇷,901,35-39,https://utmb.world/en/runner/6279.nicolas.martin,Nicolas MARTIN
José Angel FERNÁNDEZ,3092,🇪🇸,895,20-34,https://utmb.world/en/runner/2361443.joseangel.fernandezjimenez,Jose Angel FERNANDEZ JIMENEZ
Aritz EGEA,3090,🇪🇸,894,35-39,https://utmb.world/en/runner/13261.aritz.egea,Aritz EGEA
Ionel Cristian MANOLE,3264,🇷🇴,889,35-39,https://utmb.world/en/runner/2349021.ionelcristian.manole,Ionel Cristian MANOLE
Benjamin ROUBIOL,3110,🇫🇷,885,20-34,https://utmb.world/en/runner/1807325.benjamin.roubiol,Benjamin ROUBIOL
Gian Marchet SCHICKTANZ,3279,🇨🇭,885,20-34,https://utmb.world/en/runner/3191217.gianmarchet.schicktanz,Gian Marchet SCHICKTANZ
Ricardo CHERTA,3089,🇪🇸,884,20-34,https://utmb.world/en/runner/469297.ricardo.cherta,Ricardo CHERTA
Drew HOLMEN,3302,🇺🇸,883,20-34,https://utmb.world/en/runner/1030827.drew.holmen,Drew HOLMEN
André RODRIGUES,3254,🇵🇹,881,35-39,https://utmb.world/en/runner/416632.andre.rodrigues,Andre RODRIGUES
Davide CHERAZ,3163,🇮🇹,880,20-34,https://utmb.world/en/runner/158119.davide.cheraz,Davide CHERAZ
Zach MILLER,3304,🇺🇸,880,35-39,https://utmb.world/en/runner/369191.zach.miller,Zach MILLER
Borja FERNÁNDEZ,3091,🇪🇸,879,40-44,https://utmb.world/en/runner/769414.borja.fernandezfernandez,Borja FERNÁNDEZ FERNANDEZ
Peiquan YOU,3062,🇨🇳,879,35-39,https://utmb.world/en/runner/57441.peiquan.you,Peiquan YOU
Fotios ZISIMOPOULOS,3135,🇬🇷,877,40-44,https://utmb.world/en/runner/3344339.fotis.zisimopoulos,Fotis ZISIMOPOULOS
Eric LIPUMA,3303,🇺🇸,875,20-34,https://utmb.world/en/runner/1562709.eric.lipuma,Eric LIPUMA
Peter FRAŇO,3284,🇸🇰,874,20-34,https://utmb.world/en/runner/1238361.peter.frano,Peter FRANO
Ramon MANETSCH,3277,🇨🇭,873,35-39,https://utmb.world/en/runner/1503847.ramon.manetsch,Ramon MANETSCH
Baptiste CHASSAGNE,3105,🇫🇷,872,20-34,https://utmb.world/en/runner/1250019.baptiste.chassagne,Baptiste CHASSAGNE
Paul MATHOU,3109,🇫🇷,871,20-34,https://utmb.world/en/runner/595330.paul.mathou,Paul MATHOU
Harry JONES,3119,🇬🇧,869,20-34,https://utmb.world/en/runner/568200.harry.jones,Harry JONES
Marcos RAMOS,3094,🇪🇸,869,20-34,https://utmb.world/en/runner/707262.marcos.ramosgonzalez,Marcos RAMOS-GONZALEZ
Luca ARRIGONI,3159,🇮🇹,868,40-44,https://utmb.world/en/runner/1157525.luca.arrigoni,Luca ARRIGONI
Preston CATES,3301,🇺🇸,867,20-34,https://utmb.world/en/runner/4128256.preston.cates,Preston CATES
Riccardo MONTANI,3165,🇮🇹,867,20-34,https://utmb.world/en/runner/291288.riccardo.montani,Riccardo MONTANI
Philipp AUSSERHOFER,3160,🇮🇹,866,20-34,https://utmb.world/en/runner/1996295.philipp.ausserhofer,Philipp AUSSERHOFER
Romain MAILLARD,3107,🇫🇷,865,40-44,https://utmb.world/en/runner/6609.romain.maillard,Romain MAILLARD
Jakob HERRMANN,3025,🇦🇹,864,35-39,https://utmb.world/en/runner/3751835.jakob.herrmann,Jakob HERRMANN
George FOSTER,3117,🇬🇧,863,35-39,https://utmb.world/en/runner/499635.george.foster,George FOSTER
Octaviu Raul BUTACI,3262,🇷🇴,862,35-39,https://utmb.world/en/runner/669176.rauloctaviu.butaci,Raul Octaviu BUTACI
