name,bib,flag,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Jonathan ALBON,2138,🇬🇧 (United Kingdom),940,20-34,https://utmb.world/en/runner/527631.jonathan.albon,Jonathan ALBON
Stian Hovind ANGERMUND,2246,🇳🇴 (Norway),936,35-39,https://utmb.world/en/runner/493528.stian.angermund,Stian ANGERMUND
Davide MAGNINI,2189,🇮🇹 (Italy),928,20-34,https://utmb.world/en/runner/972233.davide.magnini,Davide MAGNINI
Cristian MINOGGIO,2190,🇮🇹 (Italy),921,35-39,https://utmb.world/en/runner/335600.cristian.minoggio,Cristian MINOGGIO
Petter ENGDAHL,2323,🇸🇪 (Sweden),920,20-34,https://utmb.world/en/runner/1065223.petter.engdahl,Petter ENGDAHL
Thibaut BARONIAN,2126,🇫🇷 (France),908,20-34,https://utmb.world/en/runner/84968.thibaut.baronian,Thibaut BARONIAN
Thomas CARDIN,2128,🇫🇷 (France),908,20-34,https://utmb.world/en/runner/1276833.thomas.cardin,Thomas CARDIN
Frédéric TRANCHAND,2131,🇫🇷 (France),907,35-39,https://utmb.world/en/runner/4040794.frederic.tranchand,Frédéric TRANCHAND
Loïc ROBERT,2130,🇫🇷 (France),904,20-34,https://utmb.world/en/runner/2099077.loic.robert,Loïc ROBERT
Francesco PUPPI,2192,🇮🇹 (Italy),901,20-34,https://utmb.world/en/runner/673108.francesco.puppi,Francesco PUPPI
Martin ANTHAMATTEN,2304,🇨🇭 (Switzerland),899,35-39,https://utmb.world/en/runner/132073.martin.anthamatten,Martin ANTHAMATTEN
Ruy UEDA,2202,🇯🇵 (Japan),899,20-34,https://utmb.world/en/runner/558583.ruy.ueda,Ruy UEDA
Anders Johnny KJÆREVIK,2248,🇳🇴 (Norway),898,35-39,https://utmb.world/en/runner/2558803.anders.kjaerevik,Anders KJAEREVIK
Max KING,2349,🇺🇸 (United States),898,40-44,https://utmb.world/en/runner/4657.max.king,Max KING
Seth RUHLING,2350,🇺🇸 (United States),897,20-34,https://utmb.world/en/runner/239451.seth.ruhling,Seth RUHLING
Arnaud BONIN,2127,🇫🇷 (France),895,35-39,https://utmb.world/en/runner/240069.arnaud.bonin,Arnaud BONIN
