name,bib,flag,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Anna HOFER,4382,🇮🇹,685,U20,https://utmb.world/en/runner/5051424.anna.hofer,Anna HOFER
Samantha WOOD,4432,🇺🇸,646,35-39,https://utmb.world/en/runner/221725.samantha.wood,Samantha WOOD
Tania Geovanna VALLEJO TRIANA,4331,🇪🇨,425,U20,https://utmb.world/en/runner/4928600.taniageovanna.vallejotriana,Tania Geovanna VALLEJO TRIANA
Ana NOVAK,4406,🇸🇮,417,45-49,https://utmb.world/en/runner/2050717.ana.novak,Ana NOVAK
Aina SCHERLING,4412,🇨🇭,0,,,
Alice MUGNIER,4346,🇫🇷,0,20-34,https://utmb.world/en/runner/2359663.jeannealice.mugnier,Jeanne-Alice MUGNIER
Amelie LANE,4354,🇬🇧,0,,,
Antonella Cristina ARIAS ZAMBRANO,4330,🇪🇨,0,20-34,https://utmb.world/en/runner/5198822.antonelacristina.ariaszambrano,Antonela Cristina ARIAS ZAMBRANO
Blanca BATLLE,4336,🇪🇸,0,,,
Camila DE LA COLINA,4305,🇦🇷,0,,,
Ceyda Melek PINAR,4420,🇹🇷,0,,,
Eimear MCCARROLL,4372,🇮🇪,0,,,
Elisa PEVERELLI,4383,🇮🇹,0,,,
Emily VUCEMILLO,4384,🇮🇹,0,,,
Eunice LESCANO,4306,🇦🇷,0,,,
Eve WHITAKER,4356,🇬🇧,0,U20,https://utmb.world/en/runner/4661876.eve.whitaker,Eve WHITAKER
Fabiola FORTSCHEGGER,4314,🇦🇹,0,,,
Gabriela CAMACHO,4389,🇲🇽,0,45-49,https://utmb.world/en/runner/3569119.gabriela.camacho,Gabriela CAMACHO
Georgia BELL,4352,🇬🇧,0,,,
Hanna GALLER,4315,🇦🇹,0,,,
Ida WALDAL,4391,🇳🇴,0,,,
Ines HERAULT,4337,🇪🇸,0,,,
Jessica BLANEY,4369,🇮🇪,0,,,
Juliana Itati ROMERO,4307,🇦🇷,0,,,
Kate CONNOLLY,4370,🇮🇪,0,,,
Katie GRAHAM,4371,🇮🇪,0,,,
Klara MOČNIK,4405,🇸🇮,0,,,
Klara VELEPEC,4407,🇸🇮,0,,,
Laura GALSI,4362,🇭🇺,0,,,
Laura ORDIALES,4338,🇪🇸,0,,,
Lauren RUSSELL,4355,🇬🇧,0,35-39,https://utmb.world/en/runner/4176430.lauren.russell,Lauren RUSSELL
Lili BECK,4344,🇫🇷,0,U20,https://utmb.world/en/runner/4948465.lili.beck,Lili BECK
Lily JIN,4430,🇺🇸,0,,,
Lindsey WHITTON,4431,🇺🇸,0,,,
Lucia ARNOLDO,4379,🇮🇹,0,,,
Margot DAJOUX,4345,🇫🇷,0,U20,https://utmb.world/en/runner/4750644.margot.dajoux,Margot DAJOUX
Maria Belen BURGOS LOZADA,4318,🇧🇴,0,,,
Matilde BAGNUS,4380,🇮🇹,0,U20,https://utmb.world/en/runner/4465600.matilde.bagnus,Matilde BAGNUS
Matilde BONINO,4381,🇮🇹,0,,,
Milaina ALMONTE,4429,🇺🇸,0,,,
Monika OGÓREK,4394,🇵🇱,0,20-34,https://utmb.world/en/runner/1133203.monika.ogorek,Monika OGÓREK
Nadia SOTO,4339,🇪🇸,0,U18,https://utmb.world/en/runner/4738464.nadia.sotoperez,Nadia SOTO PEREZ
Nancy CHEPKWURUI,4424,🇺🇬,0,,,
Natália IKER,4363,🇭🇺,0,,,
Nina VILLIGER,4413,🇨🇭,0,,,
Pauline TROCELLIER,4347,🇫🇷,0,U20,https://utmb.world/en/runner/4948361.pauline.trocellier,Pauline TROCELLIER
Petra HAVLOVÁ,4325,🇨🇿,0,45-49,https://utmb.world/en/runner/821268.petra.havlova,Petra HAVLOVA
Priscilla CHEPKWEMOI,4423,🇺🇬,0,,,
Rebecca FLAHERTY,4353,🇬🇧,0,,,
Rojda GORAN,4419,🇹🇷,0,,,
Sara BILBAN,4404,🇸🇮,0,,,
Selwyn RUSSELL,4310,🇦🇺,0,,,
Sofia CHÉTELAT,4411,🇨🇭,0,,,
Sofia PEÑA,4390,🇲🇽,0,,,
Vanda LÖVEI,4364,🇭🇺,0,,,
Zeynep ERTAŞ,4418,🇹🇷,0,,,
Zofia TEOFILEWSKA,4395,🇵🇱,0,,,
