name,bib,flag,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Jan TORRELLA,4333,🇪🇸,819,U20,https://utmb.world/en/runner/3371567.jan.torrella,Jan TORRELLA
Marcos VILLAMUERA,4335,🇪🇸,819,U20,https://utmb.world/en/runner/4275432.marcos.villamueraizquierdo,Marcos VILLAMUERA IZQUIERDO
Lukas EHRLE,4357,🇩🇪,801,50-54,https://utmb.world/en/runner/4647312.lukas.ehrle,Lukas EHRLE
Jules MONGELLAZ,4342,🇫🇷,775,U20,https://utmb.world/en/runner/4518978.jules.mongellaz,Jules MONGELLAZ
Marcos LÓPEZ GALERA,4332,🇪🇸,763,U20,https://utmb.world/en/runner/4174068.marcos.lopezgalera,Marcos LOPEZ GALERA
Anatole BERTHOU,4341,🇫🇷,744,U20,https://utmb.world/en/runner/4224988.anatole.berthou,Anatole BERTHOU
Agustín GARCÍA,4322,🇨🇱,740,U20,https://utmb.world/en/runner/4935946.agustinamaro.garciabelmar,Agustín Amaro GARCÍA BELMAR
Maximilian MEUSBURGER,4312,🇦🇹,738,U20,https://utmb.world/en/runner/4701648.maximilian.meusburger,Maximilian MEUSBURGER
Zack NEWSHAM,4309,🇦🇺,738,U20,https://utmb.world/en/runner/4165475.zack.newsham,Zack NEWSHAM
Maj PRITRŽNIK,4403,🇸🇮,730,50-54,https://utmb.world/en/runner/4595254.maj.pritrznik,Maj PRITRŽNIK
Dumitru-Florin GUT,4398,🇷🇴,719,20-34,https://utmb.world/en/runner/4524780.dumitruflorin.gut,Dumitru Florin GUT
Ignacio POZA,4302,🇦🇷,703,U20,https://utmb.world/en/runner/4296368.ignacio.poza,Ignacio POZA
Israel CHIMBO PASATO,4326,🇪🇨,695,U20,https://utmb.world/en/runner/4448966.israel.chimbopasato,Israel CHIMBO PASATO
Niklas SCHERB,4313,🇦🇹,645,U18,https://utmb.world/en/runner/4596540.niklas.weisskopf,Niklas WEIßKOPF
Julio Alejandro ESPINOZA,4321,🇨🇱,636,U20,https://utmb.world/en/runner/3728811.julioalejandro.espinozaaros,Julio Alejandro ESPINOZA AROS
Francesco MAZZA,4376,🇮🇹,532,35-39,https://utmb.world/en/runner/2223753.francesco.mazza,Francesco MAZZA
Miguel Angel LOPEZ,4386,🇲🇽,470,20-34,https://utmb.world/en/runner/2447647.miguelangel.vargaslopez,Miguel Ángel VARGAS LÓPEZ
Abdülmecit AÇAN,4415,🇹🇷,0,,,
Adam KRAJČ,4414,🇸🇰,0,,,
Albert Constantin MUNTEANU,4399,🇷🇴,0,,,
Alexander POULSTON,4351,🇬🇧,0,,,
Andrei DASCAL,4397,🇷🇴,0,,,
Anselme POHER,4319,🇨🇦,0,,,
