name,bib,flag,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Patrick KIPNGENO,4131,🇰🇪,942,20-34,https://utmb.world/en/runner/4595246.patrick.kipngeno,Patrick KIPNGENO
Andreu BLANES,4064,🇪🇸,911,20-34,https://utmb.world/en/runner/4020696.andreu.blanesreig,Andreu BLANES-REIG
Ombogo KIRIAGO PHILEMON,4133,🇰🇪,901,50-54,https://utmb.world/en/runner/4665256.ombogophilemon.kiriago,Ombogo-Philemon KIRIAGO
Manuel INNERHOFER,4018,🇦🇹,896,20-34,https://utmb.world/en/runner/2330407.manuel.innerhofer,Manuel INNERHOFER
Cesare MAESTRI,4121,🇮🇹,894,20-34,https://utmb.world/en/runner/743685.cesare.maestri,Cesare MAESTRI
Roberto DELORENZI,4214,🇨🇭,888,20-34,https://utmb.world/en/runner/714354.roberto.delorenzi,Roberto DELORENZI
Miguel PEREZ,4149,🇲🇽,886,20-34,https://utmb.world/en/runner/3892871.miguelangel.perezalvarado,Miguel Angel PEREZ ALVARADO
Alberto VENDER,4123,🇮🇹,884,20-34,https://utmb.world/en/runner/2586129.alberto.vender,Alberto VENDER
Juwei ZI,4047,🇨🇳,878,20-34,https://utmb.world/en/runner/4052883.juwei.zi,Juwei ZI
Alejandro GARCÍA,4066,🇪🇸,875,20-34,https://utmb.world/en/runner/4016630.alejandro.garciacarrillo,Alejandro GARCIA CARRILLO
Dominik ROLLI,4216,🇨🇭,871,20-34,https://utmb.world/en/runner/1577763.dominik.rolli,Dominik ROLLI
Tao LUO,4046,🇨🇳,871,20-34,https://utmb.world/en/runner/544891.tao.luo,Tao LUO
Andrew DOUGLAS,4085,🇬🇧,867,35-39,https://utmb.world/en/runner/2244173.andrew.douglas,Andrew DOUGLAS
Theodore KLEIN,4077,🇫🇷,867,20-34,https://utmb.world/en/runner/4017661.theodore.klein,Theodore KLEIN
Quentin MEYLEU,4078,🇫🇷,866,20-34,https://utmb.world/en/runner/2365397.quentin.meyleu,Quentin MEYLEU
Sam HENDRY,4029,🇨🇦,865,20-34,https://utmb.world/en/runner/4595608.sam.hendry,Sam HENDRY
Christopher RICHARDS,4087,🇬🇧,862,20-34,https://utmb.world/en/runner/4635310.christopher.richards,Christopher RICHARDS
Xavier CHEVRIER,4118,🇮🇹,862,20-34,https://utmb.world/en/runner/502494.xavier.chevrier,Xavier CHEVRIER
Miquel CORBERA,4065,🇪🇸,858,20-34,https://utmb.world/en/runner/4040827.miquel.corberarubio,Miquel CORBERA RUBIO
Casey CAMPBELL,4235,🇺🇸,852,20-34,https://utmb.world/en/runner/4179295.casey.campbell,Casey CAMPBELL
Timotej BEČAN,4201,🇸🇮,850,20-34,https://utmb.world/en/runner/2330393.timotej.becan,Timotej BECAN
Emmanuel MEYSSAT,4079,🇫🇷,849,40-44,https://utmb.world/en/runner/24410.emmanuel.meyssat,Emmanuel MEYSSAT
Marcin KUBICA,4178,🇵🇱,848,20-34,https://utmb.world/en/runner/3057019.marcin.kubica,Marcin KUBICA
