name,bib,sex,flag,race,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Tove ALEXANDERSSON,4224,F,🇸🇪 (Sweden),#5_Mountain Classic Senior,810,20-34,https://utmb.world/en/runner/1719133.tove.alexandersson,Tove ALEXANDERSSON
Grayson MURPHY,1236,F,🇺🇸 (United States),#1_Vertical Uphill,792,20-34,https://utmb.world/en/runner/3362651.grayson.murphy,Grayson MURPHY
Grayson MURPHY,4240,F,🇺🇸 (United States),#5_Mountain Classic Senior,792,20-34,https://utmb.world/en/runner/3362651.grayson.murphy,Grayson MURPHY
Allie MCLAUGHLIN,1235,F,🇺🇸 (United States),#1_Vertical Uphill,784,20-34,https://utmb.world/en/runner/502504.allie.mclaughlin,Allie MCLAUGHLIN
Allie MCLAUGHLIN,4239,F,🇺🇸 (United States),#5_Mountain Classic Senior,784,20-34,https://utmb.world/en/runner/502504.allie.mclaughlin,Allie MCLAUGHLIN
Christel DEWALLE,1081,F,🇫🇷 (France),#1_Vertical Uphill,782,40-44,https://utmb.world/en/runner/42208.christel.dewalle,Christel DEWALLE
Christel DEWALLE,4081,F,🇫🇷 (France),#5_Mountain Classic Senior,782,40-44,https://utmb.world/en/runner/42208.christel.dewalle,Christel DEWALLE
Azara GARCÍA,3096,F,🇪🇸 (Spain),#2_Trail Long,781,40-44,https://utmb.world/en/runner/531472.azara.garcia,Azara GARCIA
Brittany CHARBONEAU,2351,F,🇺🇸 (United States),#3_Trail Short,781,35-39,https://utmb.world/en/runner/3366247.brittany.charboneau,Brittany CHARBONEAU
Jennifer LICHTER,2353,F,🇺🇸 (United States),#3_Trail Short,778,20-34,https://utmb.world/en/runner/4220907.jennifer.lichter,Jennifer LICHTER
Nuria GIL,2111,F,🇪🇸 (Spain),#3_Trail Short,769,20-34,https://utmb.world/en/runner/669262.nuria.gilclapera,Nuria GIL CLAPERA
Caitlin FIELDER,2255,F,🇳🇿 (New Zealand),#3_Trail Short,767,20-34,https://utmb.world/en/runner/951229.caitlin.fielder,Caitlin FIELDER
Marcela VAŠÍNOVÁ,3076,F,🇨🇿 (Czech Republic),#2_Trail Long,766,20-34,https://utmb.world/en/runner/2228283.marcela.vasinova,Marcela VASINOVA
Philaries Jeruto KISANG,1130,F,🇰🇪 (Kenya),#1_Vertical Uphill,766,20-34,https://utmb.world/en/runner/4665270.philiaries.kisang,Philiaries KISANG
Philaries Jeruto KISANG,4134,F,🇰🇪 (Kenya),#5_Mountain Classic Senior,766,20-34,https://utmb.world/en/runner/4665270.philiaries.kisang,Philiaries KISANG
Sunmaya BUDHA,3221,F,🇳🇵 (Nepal),#2_Trail Long,766,20-34,https://utmb.world/en/runner/4327422.sunmaya.budha,Sunmaya BUDHA
Rosanna BUCHAUER,3130,F,🇩🇪 (Germany),#2_Trail Long,765,20-34,https://utmb.world/en/runner/1413011.rosanna.buchauer,Rosanna BUCHAUER
Andrea KOLBEINSDÓTTIR,2183,F,🇮🇸 (Iceland),#3_Trail Short,764,20-34,https://utmb.world/en/runner/1652483.andrea.kolbeinsdottir,Andrea KOLBEINSDÓTTIR
Emkay SULLIVAN,2356,F,🇺🇸 (United States),#3_Trail Short,763,20-34,https://utmb.world/en/runner/2571601.emkay.sullivan,Emkay SULLIVAN
Genma ARENAS ALCAZAR,3095,F,🇪🇸 (Spain),#2_Trail Long,763,40-44,https://utmb.world/en/runner/563721.gemma.arenas,Gemma ARENAS
Manon BOHARD CAILLER,3111,F,🇫🇷 (France),#2_Trail Long,763,20-34,https://utmb.world/en/runner/896047.manon.bohardcailler,Manon BOHARD CAILLER
Audrey TANGUY,3115,F,🇫🇷 (France),#2_Trail Long,762,35-39,https://utmb.world/en/runner/641177.audrey.tanguy,Audrey TANGUY
Hannah OSOWSKI,3311,F,🇺🇸 (United States),#2_Trail Long,762,20-34,https://utmb.world/en/runner/1598027.hannah.osowski,Hannah OSOWSKI
Toni MCCANN,2297,F,🇿🇦 (South Africa),#3_Trail Short,762,20-34,https://utmb.world/en/runner/2011593.toni.mccann,Toni MCCANN
Charlotte MOERMAN,2036,F,🇧🇪 (Belgium),#3_Trail Short,760,20-34,https://utmb.world/en/runner/989371.charlotte.moerman,Charlotte MOERMAN
Clare GALLAGHER,3309,F,🇺🇸 (United States),#2_Trail Long,760,20-34,https://utmb.world/en/runner/590348.clare.gallagher,Clare GALLAGHER
Clementine GEOFFRAY,2133,F,🇫🇷 (France),#3_Trail Short,757,20-34,https://utmb.world/en/runner/517867.clementine.geoffray,Clementine GEOFFRAY
Fabiola CONTI,2197,F,🇮🇹 (Italy),#3_Trail Short,757,20-34,https://utmb.world/en/runner/4005177.fabiola.conti,Fabiola CONTI
Oihana KORTAZAR,2113,F,🇪🇸 (Spain),#3_Trail Short,756,35-39,https://utmb.world/en/runner/13281.oihana.kortazar,Oihana KORTAZAR
