name,bib,sex,flag,race,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Patrick KIPNGENO,1127,M,🇰🇪,#1_Vertical Uphill,942,20-34,https://utmb.world/en/runner/4595246.patrick.kipngeno,Patrick KIPNGENO
Patrick KIPNGENO,4131,M,🇰🇪,#5_Mountain Classic Senior,942,20-34,https://utmb.world/en/runner/4595246.patrick.kipngeno,Patrick KIPNGENO
Jonathan ALBON,2138,M,🇬🇧,#3_Trail Short,940,20-34,https://utmb.world/en/runner/527631.jonathan.albon,Jonathan ALBON
Stian Hovind ANGERMUND,2246,M,🇳🇴,#3_Trail Short,936,35-39,https://utmb.world/en/runner/493528.stian.angermund,Stian ANGERMUND
Jim WALMSLEY,1233,M,🇺🇸,#1_Vertical Uphill,935,20-34,https://utmb.world/en/runner/485740.jim.walmsley,Jim WALMSLEY
Jim WALMSLEY,3306,M,🇺🇸,#2_Trail Long,935,20-34,https://utmb.world/en/runner/485740.jim.walmsley,Jim WALMSLEY
Davide MAGNINI,2189,M,🇮🇹,#3_Trail Short,928,20-34,https://utmb.world/en/runner/972233.davide.magnini,Davide MAGNINI
Cristian MINOGGIO,2190,M,🇮🇹,#3_Trail Short,921,35-39,https://utmb.world/en/runner/335600.cristian.minoggio,Cristian MINOGGIO
Petter ENGDAHL,2323,M,🇸🇪,#3_Trail Short,920,20-34,https://utmb.world/en/runner/1065223.petter.engdahl,Petter ENGDAHL
Hannes NAMBERGER,3127,M,🇩🇪,#2_Trail Long,914,20-34,https://utmb.world/en/runner/1008473.hannes.namberger,Hannes NAMBERGER
Andreas REITERER,3166,M,🇮🇹,#2_Trail Long,912,20-34,https://utmb.world/en/runner/666238.andreas.reiterer,Andreas REITERER
Thibaut GARRIVIER,3106,M,🇫🇷,#2_Trail Long,912,20-34,https://utmb.world/en/runner/154454.thibaut.garrivier,Thibaut GARRIVIER
Andreu BLANES,4064,M,🇪🇸,#5_Mountain Classic Senior,911,20-34,https://utmb.world/en/runner/4020696.andreu.blanesreig,Andreu BLANES-REIG
Thibaut BARONIAN,2126,M,🇫🇷,#3_Trail Short,908,20-34,https://utmb.world/en/runner/84968.thibaut.baronian,Thibaut BARONIAN
Thomas CARDIN,2128,M,🇫🇷,#3_Trail Short,908,20-34,https://utmb.world/en/runner/1276833.thomas.cardin,Thomas CARDIN
Frédéric TRANCHAND,2131,M,🇫🇷,#3_Trail Short,907,35-39,https://utmb.world/en/runner/4040794.frederic.tranchand,Frédéric TRANCHAND
Loïc ROBERT,2130,M,🇫🇷,#3_Trail Short,904,20-34,https://utmb.world/en/runner/2099077.loic.robert,Loïc ROBERT
Daniel OSANZ,1072,M,🇪🇸,#1_Vertical Uphill,902,20-34,https://utmb.world/en/runner/1015313.daniel.osanz,Daniel OSANZ
Francesco PUPPI,2192,M,🇮🇹,#3_Trail Short,901,20-34,https://utmb.world/en/runner/673108.francesco.puppi,Francesco PUPPI
Nicolas MARTIN,3108,M,🇫🇷,#2_Trail Long,901,35-39,https://utmb.world/en/runner/6279.nicolas.martin,Nicolas MARTIN
Ombogo KIRIAGO PHILEMON,1129,M,🇰🇪,#1_Vertical Uphill,901,50-54,https://utmb.world/en/runner/4665256.ombogophilemon.kiriago,Ombogo-Philemon KIRIAGO
Ombogo KIRIAGO PHILEMON,4133,M,🇰🇪,#5_Mountain Classic Senior,901,50-54,https://utmb.world/en/runner/4665256.ombogophilemon.kiriago,Ombogo-Philemon KIRIAGO
Martin ANTHAMATTEN,2304,M,🇨🇭,#3_Trail Short,899,35-39,https://utmb.world/en/runner/132073.martin.anthamatten,Martin ANTHAMATTEN
Ruy UEDA,2202,M,🇯🇵,#3_Trail Short,899,20-34,https://utmb.world/en/runner/558583.ruy.ueda,Ruy UEDA
Anders Johnny KJÆREVIK,2248,M,🇳🇴,#3_Trail Short,898,35-39,https://utmb.world/en/runner/2558803.anders.kjaerevik,Anders KJAEREVIK
Max KING,2349,M,🇺🇸,#3_Trail Short,898,40-44,https://utmb.world/en/runner/4657.max.king,Max KING
Seth RUHLING,2350,M,🇺🇸,#3_Trail Short,897,20-34,https://utmb.world/en/runner/239451.seth.ruhling,Seth RUHLING
Manuel INNERHOFER,1016,M,🇦🇹,#1_Vertical Uphill,896,20-34,https://utmb.world/en/runner/2330407.manuel.innerhofer,Manuel INNERHOFER
Manuel INNERHOFER,4018,M,🇦🇹,#5_Mountain Classic Senior,896,20-34,https://utmb.world/en/runner/2330407.manuel.innerhofer,Manuel INNERHOFER
Arnaud BONIN,2127,M,🇫🇷,#3_Trail Short,895,35-39,https://utmb.world/en/runner/240069.arnaud.bonin,Arnaud BONIN
José Angel FERNÁNDEZ,3092,M,🇪🇸,#2_Trail Long,895,20-34,https://utmb.world/en/runner/2361443.joseangel.fernandezjimenez,Jose Angel FERNANDEZ JIMENEZ
Aritz EGEA,3090,M,🇪🇸,#2_Trail Long,894,35-39,https://utmb.world/en/runner/13261.aritz.egea,Aritz EGEA
Cesare MAESTRI,1118,M,🇮🇹,#1_Vertical Uphill,894,20-34,https://utmb.world/en/runner/743685.cesare.maestri,Cesare MAESTRI
Cesare MAESTRI,4121,M,🇮🇹,#5_Mountain Classic Senior,894,20-34,https://utmb.world/en/runner/743685.cesare.maestri,Cesare MAESTRI
Thomas ROACH,2142,M,🇬🇧,#3_Trail Short,892,40-44,https://utmb.world/en/runner/118106.thomas.roach,Thomas ROACH
Zaid AIT MALEK,2105,M,🇪🇸,#3_Trail Short,890,35-39,https://utmb.world/en/runner/160686.zaid.aitmalekoulkis,Zaid AIT MALEK OULKIS
Ionel Cristian MANOLE,3264,M,🇷🇴,#2_Trail Long,889,35-39,https://utmb.world/en/runner/2349021.ionelcristian.manole,Ionel Cristian MANOLE
Jan MARGARIT,2107,M,🇪🇸,#3_Trail Short,889,20-34,https://utmb.world/en/runner/934245.jan.margarit,Jan MARGARIT
Maximilien DRION DU CHAPOIS,2035,M,🇧🇪,#3_Trail Short,888,20-34,https://utmb.world/en/runner/1004021.maximilien.drion,Maximilien DRION
Roberto DELORENZI,1206,M,🇨🇭,#1_Vertical Uphill,888,20-34,https://utmb.world/en/runner/714354.roberto.delorenzi,Roberto DELORENZI
Roberto DELORENZI,4214,M,🇨🇭,#5_Mountain Classic Senior,888,20-34,https://utmb.world/en/runner/714354.roberto.delorenzi,Roberto DELORENZI
Andrea ROTA,2193,M,🇮🇹,#3_Trail Short,886,20-34,https://utmb.world/en/runner/2541661.andrea.rota,Andrea ROTA
Miguel PEREZ,4149,M,🇲🇽,#5_Mountain Classic Senior,886,20-34,https://utmb.world/en/runner/3892871.miguelangel.perezalvarado,Miguel Angel PEREZ ALVARADO
Benjamin ROUBIOL,3110,M,🇫🇷,#2_Trail Long,885,20-34,https://utmb.world/en/runner/1807325.benjamin.roubiol,Benjamin ROUBIOL
Gian Marchet SCHICKTANZ,3279,M,🇨🇭,#2_Trail Long,885,20-34,https://utmb.world/en/runner/3191217.gianmarchet.schicktanz,Gian Marchet SCHICKTANZ
Alberto VENDER,4123,M,🇮🇹,#5_Mountain Classic Senior,884,20-34,https://utmb.world/en/runner/2586129.alberto.vender,Alberto VENDER
Benedikt HOFFMANN,2148,M,🇩🇪,#3_Trail Short,884,35-39,https://utmb.world/en/runner/929131.benedikt.hoffmann,Benedikt HOFFMANN
Ricardo CHERTA,3089,M,🇪🇸,#2_Trail Long,884,20-34,https://utmb.world/en/runner/469297.ricardo.cherta,Ricardo CHERTA
Drew HOLMEN,3302,M,🇺🇸,#2_Trail Long,883,20-34,https://utmb.world/en/runner/1030827.drew.holmen,Drew HOLMEN
André RODRIGUES,3254,M,🇵🇹,#2_Trail Long,881,35-39,https://utmb.world/en/runner/416632.andre.rodrigues,Andre RODRIGUES
Stephan WENK,2309,M,🇨🇭,#3_Trail Short,881,40-44,https://utmb.world/en/runner/118099.stephan.wenk,Stephan WENK
Andrzej WITEK,2270,M,🇵🇱,#3_Trail Short,880,20-34,https://utmb.world/en/runner/2109803.andrzej.witek,Andrzej WITEK
Davide CHERAZ,3163,M,🇮🇹,#2_Trail Long,880,20-34,https://utmb.world/en/runner/158119.davide.cheraz,Davide CHERAZ
Zach MILLER,3304,M,🇺🇸,#2_Trail Long,880,35-39,https://utmb.world/en/runner/369191.zach.miller,Zach MILLER
Borja FERNÁNDEZ,3091,M,🇪🇸,#2_Trail Long,879,40-44,https://utmb.world/en/runner/769414.borja.fernandezfernandez,Borja FERNÁNDEZ FERNANDEZ
Peiquan YOU,3062,M,🇨🇳,#2_Trail Long,879,35-39,https://utmb.world/en/runner/57441.peiquan.you,Peiquan YOU
Juwei ZI,2072,M,🇨🇳,#3_Trail Short,878,20-34,https://utmb.world/en/runner/4052883.juwei.zi,Juwei ZI
Juwei ZI,4047,M,🇨🇳,#5_Mountain Classic Senior,878,20-34,https://utmb.world/en/runner/4052883.juwei.zi,Juwei ZI
Fotios ZISIMOPOULOS,3135,M,🇬🇷,#2_Trail Long,877,40-44,https://utmb.world/en/runner/3344339.fotis.zisimopoulos,Fotis ZISIMOPOULOS
Luca DEL PERO,2187,M,🇮🇹,#3_Trail Short,877,20-34,https://utmb.world/en/runner/3079761.luca.delpero,Luca DEL PERO
Craig HUNT,2348,M,🇺🇸,#3_Trail Short,876,20-34,https://utmb.world/en/runner/3977665.craig.hunt,Craig HUNT
